Process Name,USER,PID,CPU_MEAN,CPU_STD_Deviation,MEM_MEAN,MEM_STD_Deviation
scsi_tmf_0,root,223,0.0,0.0,0.0,0.0
scsi_eh_1,root,225,0.0,0.0,0.0,0.0
scsi_tmf_1,root,226,0.0,0.0,0.0,0.0
card0-crtc0,root,234,0.0,0.0,0.0,0.0
card0-crtc1,root,235,0.0,0.0,0.0,0.0
card0-crtc2,root,236,0.0,0.0,0.0,0.0
irq/128-i2c_hid_acpi,root,244,0.0,0.0,0.0,0.0
xfsalloc,root,261,0.0,0.0,0.0,0.0
xfs_mru_cache,root,262,0.0,0.0,0.0,0.0
md,root,265,0.0,0.0,0.0,0.0
raid5wq,root,274,0.0,0.0,0.0,0.0
btrfs-worker,root,315,0.0,0.0,0.0,0.0
btrfs-worker-hi,root,316,0.0,0.0,0.0,0.0
btrfs-delalloc,root,317,0.0,0.0,0.0,0.0
btrfs-flush_del,root,318,0.0,0.0,0.0,0.0
btrfs-cache,root,319,0.0,0.0,0.0,0.0
btrfs-fixup,root,320,0.0,0.0,0.0,0.0
btrfs-endio,root,321,0.0,0.0,0.0,0.0
btrfs-endio-met,root,322,0.0,0.0,0.0,0.0
btrfs-endio-rai,root,323,0.0,0.0,0.0,0.0
btrfs-rmw,root,324,0.0,0.0,0.0,0.0
btrfs-endio-wri,root,325,0.0,0.0,0.0,0.0
btrfs-compresse,root,326,0.0,0.0,0.0,0.0
btrfs-freespace,root,327,0.0,0.0,0.0,0.0
btrfs-delayed-m,root,328,0.0,0.0,0.0,0.0
btrfs-qgroup-re,root,329,0.0,0.0,0.0,0.0
btrfs-cleaner,root,331,0.02666666666666667,0.14605934866804432,0.0,0.0
btrfs-transaction,root,332,0.66,2.28165094492623,0.0,0.0
systemd-journald,root,399,0.08666666666666667,0.35499716689819816,0.2107383963960594,7.60754171086255e-05
systemd-udevd,root,451,0.0,0.0,0.0554380466909908,0.0
watchdogd,root,562,0.0,0.0,0.0,0.0
cfg80211,root,578,0.0,0.0,0.0,0.0
ath10k_wq,root,620,0.0,0.0,0.0,0.0
ath10k_aux_wq,root,621,0.0,0.0,0.0,0.0
ath10k_tx_compl,root,622,0.0,0.0,0.0,0.0
kmemstick,root,695,0.0,0.0,0.0,0.0
haveged,root,864,0.0,0.0,0.0413140170413553,0.0
accounts-daemon,root,869,0.0,0.0,0.0649360875355192,0.0
bluetoothd,root,875,0.0,0.0,0.0388287783747818,0.0
cron,root,877,0.0,0.0,0.017372064342583,0.0
dbus-daemon,messagebus,878,0.0,0.0,0.0406742526321384,0.0
NetworkManager,root,881,0.0,0.0,0.1400591929716466,0.0
osspd,root,885,0.0,0.0,0.0180610413986627,0.0
polkitd,root,886,0.0,0.0,0.0669045934100328,0.0
rngd,root,887,0.0,0.0,0.0049458710097155,0.0
snapd,root,888,0.0,0.0,0.2678398305510143,0.0
systemd-logind,root,889,0.0,0.0,0.0527559574369659,0.0
udisksd,root,890,0.0,0.0,0.1117127083786499,0.0
wpa_supplicant,root,891,0.0,0.0,0.0636811650405167,0.0
